Player Name,Role,Batting Style,Bowling Style,Team,Is Overseas
Ruturaj Gaikwad,batter,right-hand bat,right-arm offbreak,Chennai Super Kings,No
Khaleel Ahmed,bowler,right-hand bat,left-arm fast-medium,Chennai Super Kings,No
C Andre Siddarth,batter,right-hand bat,Unknown,Chennai Super Kings,No
Ravichandran Ashwin,bowling allrounder,right-hand bat,right-arm offbreak,Chennai Super Kings,No
Vansh Bedi,wicketkeeper batter,right-hand bat,Unknown,Chennai Super Kings,No
Devon Conway,wicketkeeper batter,left-hand bat,right-arm medium,Chennai Super Kings,Yes
Sam Curran,allrounder,left-hand bat,left-arm medium-fast,Chennai Super Kings,Yes
MS Dhoni,wicketkeeper batter,right-hand bat,right-arm medium,Chennai Super Kings,No
Shivam Dube,allrounder,left-hand bat,right-arm medium,Chennai Super Kings,No
Nathan Ellis,bowler,right-hand bat,right-arm fast-medium,Chennai Super Kings,Yes
Ramakrishna Ghosh,bowling allrounder,right-hand bat,right-arm medium-fast,Chennai Super Kings,No
Shreyas Gopal,allrounder,right-hand bat,legbreak,Chennai Super Kings,No
Gurjapneet Singh,bowler,right-hand bat,left-arm medium-fast,Chennai Super Kings,No
Deepak Hooda,allrounder,right-hand bat,right-arm offbreak,Chennai Super Kings,No
Ravindra Jadeja,allrounder,left-hand bat,slow left-arm orthodox,Chennai Super Kings,No
Anshul Kamboj,allrounder,right-hand bat,right-arm medium,Chennai Super Kings,No
Mukesh Choudhary,bowler,left-hand bat,left-arm medium,Chennai Super Kings,No
Kamlesh Nagarkoti,bowler,right-hand bat,right-arm fast,Chennai Super Kings,No
Noor Ahmad,bowler,right-hand bat,left-arm wrist-spin,Chennai Super Kings,Yes
Jamie Overton,bowling allrounder,right-hand bat,right-arm fast,Chennai Super Kings,Yes
Matheesha Pathirana,bowler,right-hand bat,right-arm fast,Chennai Super Kings,Yes
Shaik Rasheed,batter,right-hand bat,legbreak,Chennai Super Kings,No
Rachin Ravindra,batting allrounder,left-hand bat,slow left-arm orthodox,Chennai Super Kings,Yes
Vijay Shankar,allrounder,right-hand bat,right-arm medium,Chennai Super Kings,No
Rahul Tripathi,top-order batter,right-hand bat,right-arm medium,Chennai Super Kings,No
