Player Name,Role,Batting Style,Bowling Style,Team,Is Overseas
Rishabh Pant,wicketkeeper batter,left-hand bat,Unknown,Lucknow Super Giants,No
Abdul Samad,batter,right-hand bat,legbreak,Lucknow Super Giants,No
Akash Deep,bowler,right-hand bat,right-arm fast-medium,Lucknow Super Giants,No
Akash Singh,bowler,right-hand bat,left-arm medium-fast,Lucknow Super Giants,No
Avesh Khan,bowler,right-hand bat,right-arm fast-medium,Lucknow Super Giants,No
Ayush Badoni,batter,right-hand bat,right-arm offbreak,Lucknow Super Giants,No
Matthew Breetzke,batter,right-hand bat,Unknown,Lucknow Super Giants,Yes
Yuvraj Chaudhary,batting allrounder,left-hand bat,slow left-arm orthodox,Lucknow Super Giants,No
Rajvardhan Hangargekar,bowling allrounder,right-hand bat,right-arm fast-medium,Lucknow Super Giants,No
Himmat Singh,batter,right-hand bat,right-arm offbreak,Lucknow Super Giants,No
Shamar Joseph,bowler,left-hand bat,right-arm fast,Lucknow Super Giants,Yes
Aryan Juyal,wicketkeeper batter,right-hand bat,Unknown,Lucknow Super Giants,No
Arshin Kulkarni,allrounder,right-hand bat,right-arm medium,Lucknow Super Giants,No
Aiden Markram,allrounder,right-hand bat,right-arm offbreak,Lucknow Super Giants,Yes
Mitchell Marsh,allrounder,right-hand bat,right-arm medium,Lucknow Super Giants,Yes
David Miller,middle-order batter,left-hand bat,right-arm offbreak,Lucknow Super Giants,Yes
Mohsin Khan,bowler,left-hand bat,left-arm medium-fast,Lucknow Super Giants,No
Nicholas Pooran,wicketkeeper batter,left-hand bat,right-arm offbreak,Lucknow Super Giants,Yes
Prince Yadav,bowler,right-hand bat,right-arm fast,Lucknow Super Giants,No
Digvesh Rathi,bowler,right-hand bat,legbreak,Lucknow Super Giants,No
Ravi Bishnoi,bowler,right-hand bat,legbreak googly,Lucknow Super Giants,No
Shahbaz Ahmed,allrounder,left-hand bat,slow left-arm orthodox,Lucknow Super Giants,No
Manimaran Siddharth,bowler,right-hand bat,slow left-arm orthodox,Lucknow Super Giants,No
Mayank Yadav,bowler,right-hand bat,right-arm fast,Lucknow Super Giants,No
