Player Name,Role,Batting Style,Bowling Style,Team,Is Overseas
Suryakumar Yadav,batter,right-hand bat,"right-arm medium, right-arm offbreak",Mumbai Indians,No
Ashwani Kumar,bowler,left-hand bat,left-arm medium,Mumbai Indians,No
Raj Bawa,allrounder,left-hand bat,right-arm medium-fast,Mumbai Indians,No
Corbin Bosch,allrounder,right-hand bat,right-arm fast-medium,Mumbai Indians,Yes
Trent Boult,bowler,right-hand bat,left-arm fast-medium,Mumbai Indians,Yes
Jasprit Bumrah,bowler,right-hand bat,right-arm fast,Mumbai Indians,No
Deepak Chahar,bowler,right-hand bat,right-arm medium,Mumbai Indians,No
Will Jacks,batting allrounder,right-hand bat,right-arm offbreak,Mumbai Indians,Yes
Bevon Jacobs,middle-order batter,right-hand bat,right-arm medium,Mumbai Indians,Yes
Robin Minz,wicketkeeper,left-hand bat,slow left-arm orthodox,Mumbai Indians,No
Mujeeb Ur Rahman,bowler,right-hand bat,right-arm offbreak,Mumbai Indians,Yes
Naman Dhir,top-order batter,right-hand bat,right-arm offbreak,Mumbai Indians,No
Hardik Pandya,allrounder,right-hand bat,right-arm medium-fast,Mumbai Indians,No
Vignesh Puthur,bowler,right-hand bat,slow left-arm orthodox,Mumbai Indians,No
Satyanarayana Raju,bowler,right-hand bat,right-arm medium-fast,Mumbai Indians,No
Ryan Rickelton,wicketkeeper batter,left-hand bat,Unknown,Mumbai Indians,Yes
Mitchell Santner,bowling allrounder,left-hand bat,slow left-arm orthodox,Mumbai Indians,Yes
Karn Sharma,bowler,left-hand bat,legbreak googly,Mumbai Indians,No
Rohit Sharma,top-order batter,right-hand bat,right-arm offbreak,Mumbai Indians,No
Krishnan Shrijith,wicketkeeper batter,left-hand bat,right-arm offbreak,Mumbai Indians,No
Arjun Tendulkar,bowler,left-hand bat,left-arm medium-fast,Mumbai Indians,No
Tilak Varma,batting allrounder,left-hand bat,right-arm offbreak,Mumbai Indians,No
Reece Topley,bowler,right-hand bat,left-arm fast-medium,Mumbai Indians,Yes
AM Ghazanfar,bowler,right-hand bat,right-arm offbreak,Mumbai Indians,Yes
Lizaad Williams,bowler,left-hand bat,right-arm medium-fast,Mumbai Indians,Yes
