Player Name,Role,Batting Style,Bowling Style,Team,Is Overseas
Pat Cummins,bowler,right-hand bat,right-arm fast,Sunrisers Hyderabad,Yes
Abhishek Sharma,batting allrounder,left-hand bat,slow left-arm orthodox,Sunrisers Hyderabad,No
Rahul Chahar,bowler,right-hand bat,legbreak googly,Sunrisers Hyderabad,No
Travis Head,top-order batter,left-hand bat,right-arm offbreak,Sunrisers Hyderabad,Yes
Ishan Kishan,wicketkeeper batter,left-hand bat,legbreak,Sunrisers Hyderabad,No
Heinrich Klaasen,wicketkeeper batter,right-hand bat,right-arm offbreak,Sunrisers Hyderabad,Yes
Eshan Malinga,bowler,left-hand bat,right-arm fast-medium,Sunrisers Hyderabad,Yes
Abhinav Manohar,batting allrounder,right-hand bat,legbreak googly,Sunrisers Hyderabad,No
Kamindu Mendis,allrounder,left-hand bat,"right-arm offbreak, slow left-arm orthodox",Sunrisers Hyderabad,Yes
Mohammed Shami,bowler,right-hand bat,right-arm fast,Sunrisers Hyderabad,No
Wiaan Mulder,allrounder,right-hand bat,right-arm medium,Sunrisers Hyderabad,Yes
Nitish Kumar Reddy,batting allrounder,right-hand bat,right-arm medium-fast,Sunrisers Hyderabad,No
Harshal Patel,bowler,right-hand bat,right-arm medium,Sunrisers Hyderabad,No
Sachin Baby,batter,left-hand bat,right-arm offbreak,Sunrisers Hyderabad,No
Simarjeet Singh,bowler,right-hand bat,right-arm medium-fast,Sunrisers Hyderabad,No
Atharva Taide,batting allrounder,left-hand bat,slow left-arm orthodox,Sunrisers Hyderabad,No
Jaydev Unadkat,bowler,right-hand bat,left-arm medium,Sunrisers Hyderabad,No
Aniket Verma,batter,right-hand bat,right-arm medium-fast,Sunrisers Hyderabad,No
Adam Zampa,bowler,right-hand bat,legbreak googly,Sunrisers Hyderabad,Yes
Zeeshan Ansari,bowler,right-hand bat,legbreak googly,Sunrisers Hyderabad,No
Brydon Carse,bowling allrounder,right-hand bat,right-arm fast,Sunrisers Hyderabad,Yes
