Player Name,Role,Batting Style,Bowling Style,Team,Is Overseas
Axar Patel,allrounder,left-hand bat,slow left-arm orthodox,Delhi Capitals,No
Faf du Plessis,middle-order batter,right-hand bat,legbreak,Delhi Capitals,Yes
Abishek Porel,wicketkeeper batter,left-hand bat,Unknown,Delhi Capitals,No
Dushmantha Chameera,bowler,right-hand bat,right-arm fast,Delhi Capitals,Yes
Donovan Ferreira,allrounder,right-hand bat,right-arm offbreak,Delhi Capitals,Yes
Jake Fraser-McGurk,batter,right-hand bat,legbreak googly,Delhi Capitals,Yes
Kuldeep Yadav,bowler,left-hand bat,left-arm wrist-spin,Delhi Capitals,No
Ajay Mandal,allrounder,left-hand bat,slow left-arm orthodox,Delhi Capitals,No
Manvanth Kumar,allrounder,left-hand bat,right-arm fast-medium,Delhi Capitals,No
Mukesh Kumar,bowler,right-hand bat,right-arm medium,Delhi Capitals,No
Karun Nair,top-order batter,right-hand bat,right-arm offbreak,Delhi Capitals,No
Darshan Nalkande,bowler,right-hand bat,right-arm fast-medium,Delhi Capitals,No
T Natarajan,bowler,left-hand bat,left-arm medium,Delhi Capitals,No
Vipraj Nigam,bowler,right-hand bat,legbreak,Delhi Capitals,No
KL Rahul,wicketkeeper batter,right-hand bat,Unknown,Delhi Capitals,No
Sameer Rizvi,batter,right-hand bat,right-arm offbreak,Delhi Capitals,No
Mohit Sharma,bowler,right-hand bat,right-arm medium,Delhi Capitals,No
Ashutosh Sharma,batting allrounder,right-hand bat,Unknown,Delhi Capitals,No
Mitchell Starc,bowler,left-hand bat,left-arm fast,Delhi Capitals,Yes
Tristan Stubbs,batter,right-hand bat,right-arm offbreak,Delhi Capitals,Yes
Madhav Tiwari,allrounder,right-hand bat,right-arm medium-fast,Delhi Capitals,No
Tripurana Vijay,bowler,right-hand bat,right-arm offbreak,Delhi Capitals,No
Harry Brook,batter,right-hand bat,right-arm medium,Delhi Capitals,Yes
