Player Name,Role,Batting Style,Bowling Style,Team,Is Overseas
Shubman Gill,opening batter,right-hand bat,right-arm offbreak,Gujarat Titans,No
Rashid Khan,bowling allrounder,right-hand bat,legbreak googly,Gujarat Titans,Yes
Anuj Rawat,wicketkeeper batter,left-hand bat,Unknown,Gujarat Titans,No
Arshad Khan,bowler,left-hand bat,left-arm medium,Gujarat Titans,No
Jos Buttler,wicketkeeper batter,right-hand bat,Unknown,Gujarat Titans,Yes
Gerald Coetzee,bowler,right-hand bat,right-arm fast,Gujarat Titans,Yes
Gurnoor Brar,bowler,left-hand bat,right-arm fast,Gujarat Titans,No
Karim Janat,bowling allrounder,right-hand bat,right-arm medium,Gujarat Titans,Yes
Kulwant Khejroliya,bowler,left-hand bat,left-arm medium-fast,Gujarat Titans,No
Kumar Kushagra,wicketkeeper batter,right-hand bat,Unknown,Gujarat Titans,No
Mahipal Lomror,allrounder,left-hand bat,slow left-arm orthodox,Gujarat Titans,No
Mohammed Siraj,bowler,right-hand bat,right-arm fast,Gujarat Titans,No
Glenn Phillips,allrounder,right-hand bat,right-arm offbreak,Gujarat Titans,Yes
Prasidh Krishna,bowler,right-hand bat,right-arm fast-medium,Gujarat Titans,No
Kagiso Rabada,bowler,left-hand bat,right-arm fast,Gujarat Titans,Yes
Sherfane Rutherford,middle-order batter,left-hand bat,right-arm fast-medium,Gujarat Titans,Yes
Sai Kishore,bowler,left-hand bat,slow left-arm orthodox,Gujarat Titans,No
Sai Sudharsan,top-order batter,left-hand bat,legbreak,Gujarat Titans,No
M Shahrukh Khan,batter,right-hand bat,right-arm offbreak,Gujarat Titans,No
Ishant Sharma,bowler,right-hand bat,right-arm fast-medium,Gujarat Titans,No
Nishant Sindhu,allrounder,left-hand bat,slow left-arm orthodox,Gujarat Titans,No
Manav Suthar,bowling allrounder,left-hand bat,slow left-arm orthodox,Gujarat Titans,No
Rahul Tewatia,bowling allrounder,left-hand bat,legbreak,Gujarat Titans,No
Washington Sundar,bowling allrounder,left-hand bat,right-arm offbreak,Gujarat Titans,No
Jayant Yadav,bowler,right-hand bat,right-arm offbreak,Gujarat Titans,No
