Player Name,Role,Batting Style,Bowling Style,Team,Is Overseas
Ajinkya Rahane,top-order batter,right-hand bat,right-arm medium,Kolkata Knight Riders,No
Venkatesh Iyer,allrounder,left-hand bat,right-arm medium,Kolkata Knight Riders,No
Moeen Ali,batting allrounder,left-hand bat,right-arm offbreak,Kolkata Knight Riders,Yes
Vaibhav Arora,bowler,right-hand bat,right-arm fast-medium,Kolkata Knight Riders,No
Quinton de Kock,wicketkeeper batter,left-hand bat,Unknown,Kolkata Knight Riders,Yes
Harshit Rana,bowler,right-hand bat,right-arm fast,Kolkata Knight Riders,No
Spencer Johnson,bowler,left-hand bat,left-arm fast,Kolkata Knight Riders,Yes
Mayank Markande,bowler,right-hand bat,legbreak,Kolkata Knight Riders,No
Sunil Narine,bowling allrounder,left-hand bat,right-arm offbreak,Kolkata Knight Riders,Yes
Anrich Nortje,bowler,right-hand bat,right-arm fast,Kolkata Knight Riders,Yes
Manish Pandey,top-order batter,right-hand bat,right-arm medium,Kolkata Knight Riders,No
Rovman Powell,middle-order batter,right-hand bat,right-arm medium-fast,Kolkata Knight Riders,Yes
Angkrish Raghuvanshi,top-order batter,right-hand bat,slow left-arm orthodox,Kolkata Knight Riders,No
Rahmanullah Gurbaz,wicketkeeper batter,right-hand bat,right-arm medium,Kolkata Knight Riders,Yes
Ramandeep Singh,middle-order batter,right-hand bat,right-arm medium,Kolkata Knight Riders,No
Anukul Roy,allrounder,left-hand bat,slow left-arm orthodox,Kolkata Knight Riders,No
Andre Russell,allrounder,right-hand bat,right-arm fast,Kolkata Knight Riders,Yes
Chetan Sakariya,bowler,left-hand bat,left-arm medium-fast,Kolkata Knight Riders,No
Rinku Singh,middle-order batter,left-hand bat,right-arm offbreak,Kolkata Knight Riders,No
Luvnith Sisodia,wicketkeeper batter,left-hand bat,left-arm medium,Kolkata Knight Riders,No
Varun Chakravarthy,bowler,right-hand bat,legbreak googly,Kolkata Knight Riders,No
Umran Malik,bowler,right-hand bat,right-arm fast,Kolkata Knight Riders,No
