Player Name,Role,Batting Style,Bowling Style,Team,Is Overseas
Shreyas Iyer,top-order batter,right-hand bat,"right-arm offbreak, legbreak googly",Punjab Kings,No
Arshdeep Singh,bowler,left-hand bat,left-arm medium-fast,Punjab Kings,No
Priyansh Arya,opening batter,left-hand bat,right-arm offbreak,Punjab Kings,No
Pyla Avinash,batter,right-hand bat,right-arm medium-fast,Punjab Kings,No
Azmatullah Omarzai,allrounder,right-hand bat,right-arm medium-fast,Punjab Kings,Yes
Xavier Bartlett,bowler,right-hand bat,right-arm fast-medium,Punjab Kings,Yes
Yuzvendra Chahal,bowler,right-hand bat,legbreak googly,Punjab Kings,No
Praveen Dubey,bowler,right-hand bat,legbreak googly,Punjab Kings,No
Lockie Ferguson,bowler,right-hand bat,right-arm fast,Punjab Kings,Yes
Aaron Hardie,allrounder,right-hand bat,right-arm medium-fast,Punjab Kings,Yes
Harnoor Singh,batter,left-hand bat,legbreak,Punjab Kings,No
Harpreet Brar,bowler,left-hand bat,slow left-arm orthodox,Punjab Kings,No
Josh Inglis,wicketkeeper batter,right-hand bat,Unknown,Punjab Kings,Yes
Marco Jansen,bowling allrounder,right-hand bat,left-arm fast,Punjab Kings,Yes
Glenn Maxwell,batting allrounder,right-hand bat,right-arm offbreak,Punjab Kings,Yes
Musheer Khan,allrounder,right-hand bat,slow left-arm orthodox,Punjab Kings,No
Prabhsimran Singh,wicketkeeper batter,right-hand bat,Unknown,Punjab Kings,No
Kuldeep Sen,bowler,right-hand bat,right-arm fast,Punjab Kings,No
Shashank Singh,batting allrounder,right-hand bat,"right-arm medium, right-arm offbreak",Punjab Kings,No
Marcus Stoinis,batting allrounder,right-hand bat,right-arm medium,Punjab Kings,Yes
Suryansh Shedge,batting allrounder,right-hand bat,Unknown,Punjab Kings,No
Vishnu Vinod,wicketkeeper batter,right-hand bat,Unknown,Punjab Kings,No
Vijaykumar Vyshak,bowler,right-hand bat,right-arm medium,Punjab Kings,No
Nehal Wadhera,top-order batter,left-hand bat,legbreak,Punjab Kings,No
Yash Thakur,bowler,right-hand bat,right-arm fast-medium,Punjab Kings,No
