Player Name,Role,Batting Style,Bowling Style,Team,Is Overseas
Riyan Parag,top-order batter,right-hand bat,"right-arm offbreak, legbreak",Rajasthan Royals,No
Jofra Archer,bowler,right-hand bat,right-arm fast,Rajasthan Royals,Yes
Ashok Sharma,bowler,right-hand bat,right-arm medium,Rajasthan Royals,No
Tushar Deshpande,bowler,left-hand bat,right-arm medium,Rajasthan Royals,No
Shubham Dubey,middle-order batter,left-hand bat,right-arm offbreak,Rajasthan Royals,No
Fazalhaq Farooqi,bowler,right-hand bat,left-arm fast-medium,Rajasthan Royals,Yes
Wanindu Hasaranga,allrounder,right-hand bat,legbreak,Rajasthan Royals,Yes
Shimron Hetmyer,middle-order batter,left-hand bat,Unknown,Rajasthan Royals,Yes
Yashasvi Jaiswal,opening batter,left-hand bat,legbreak,Rajasthan Royals,No
Dhruv Jurel,wicketkeeper batter,right-hand bat,Unknown,Rajasthan Royals,No
Kumar Kartikeya,bowler,right-hand bat,"slow left-arm orthodox, left-arm wrist-spin",Rajasthan Royals,No
Akash Madhwal,bowler,right-hand bat,right-arm medium-fast,Rajasthan Royals,No
Kwena Maphaka,bowler,left-hand bat,left-arm fast,Rajasthan Royals,Yes
Nitish Rana,middle-order batter,left-hand bat,"right-arm medium, right-arm offbreak, legbreak",Rajasthan Royals,No
Kunal Singh Rathore,wicketkeeper batter,left-hand bat,Unknown,Rajasthan Royals,No
Sanju Samson,wicketkeeper batter,right-hand bat,Unknown,Rajasthan Royals,No
Sandeep Sharma,bowler,right-hand bat,right-arm medium,Rajasthan Royals,No
Vaibhav Suryavanshi,batter,left-hand bat,slow left-arm orthodox,Rajasthan Royals,No
Maheesh Theekshana,bowler,right-hand bat,right-arm offbreak,Rajasthan Royals,Yes
Yudhvir Singh,bowler,right-hand bat,right-arm medium-fast,Rajasthan Royals,No
