Player Name,Role,Batting Style,Bowling Style,Team,Is Overseas
Rajat Patidar,top-order batter,right-hand bat,right-arm offbreak,Royal Challengers Bangalore,No
Abhinandan Singh,bowler,right-hand bat,right-arm medium-fast,Royal Challengers Bangalore,No
Jacob Bethell,batting allrounder,left-hand bat,slow left-arm orthodox,Royal Challengers Bangalore,Yes
Manoj Bhandage,allrounder,left-hand bat,right-arm medium-fast,Royal Challengers Bangalore,No
Swastik Chikara,batter,right-hand bat,right-arm offbreak,Royal Challengers Bangalore,No
Tim David,middle-order batter,right-hand bat,right-arm offbreak,Royal Challengers Bangalore,Yes
Josh Hazlewood,bowler,left-hand bat,right-arm fast-medium,Royal Challengers Bangalore,Yes
Virat Kohli,top-order batter,right-hand bat,right-arm medium,Royal Challengers Bangalore,No
Bhuvneshwar Kumar,bowler,right-hand bat,right-arm medium,Royal Challengers Bangalore,No
Liam Livingstone,batting allrounder,right-hand bat,"right-arm offbreak, legbreak",Royal Challengers Bangalore,Yes
Mohit Rathee,allrounder,right-hand bat,legbreak,Royal Challengers Bangalore,No
Lungi Ngidi,bowler,right-hand bat,right-arm fast-medium,Royal Challengers Bangalore,Yes
Devdutt Padikkal,top-order batter,left-hand bat,right-arm offbreak,Royal Challengers Bangalore,No
Krunal Pandya,allrounder,left-hand bat,slow left-arm orthodox,Royal Challengers Bangalore,No
Rasikh Salam,bowler,right-hand bat,right-arm medium,Royal Challengers Bangalore,No
Phil Salt,wicketkeeper batter,right-hand bat,right-arm offbreak,Royal Challengers Bangalore,Yes
Jitesh Sharma,wicketkeeper batter,right-hand bat,Unknown,Royal Challengers Bangalore,No
Romario Shepherd,bowling allrounder,right-hand bat,right-arm fast-medium,Royal Challengers Bangalore,Yes
Suyash Sharma,bowler,right-hand bat,legbreak googly,Royal Challengers Bangalore,No
Swapnil Singh,bowler,right-hand bat,slow left-arm orthodox,Royal Challengers Bangalore,No
Nuwan Thushara,bowler,right-hand bat,right-arm medium-fast,Royal Challengers Bangalore,Yes
Yash Dayal,bowler,right-hand bat,left-arm medium-fast,Royal Challengers Bangalore,No
